timestamp,latitude,longitude,speed,heading,accuracy,has_defect
1788413672.421,20.292,85.821,24.5,82.0,3.5,0
1788413674.421,20.2928,85.8217,25.5,82.0,3.5,0
1788413676.421,20.2936,85.8224,26.5,82.0,3.5,0
1788413678.421,20.2944,85.8231,24.5,82.0,3.5,0
1788413680.421,20.2952,85.8238,25.5,82.0,3.5,0
1788413682.421,20.2962,85.82459,26.5,82.0,3.5,1
1788413684.421,20.2968,85.8252,24.5,82.0,3.5,0
1788413686.421,20.2976,85.8259,25.5,82.0,3.5,0
1788413688.421,20.2984,85.8266,26.5,82.0,3.5,0
1788413690.421,20.2992,85.8273,24.5,82.0,3.5,0
1788413692.421,20.3,85.828,25.5,82.0,3.5,0
1788413694.421,20.3008,85.8287,26.5,82.0,3.5,0
